u, y, t
145,-92799,4766
145,-93049,4771
145,-93304,4776
145,-93492,4781
145,-93739,4786
146,-93986,4791
146,-94235,4796
146,-94483,4801
146,-94735,4806
146,-94982,4811
146,-95235,4816
147,-95486,4822
147,-95730,4827
147,-95979,4832
147,-96231,4837
147,-96475,4842
148,-96721,4847
148,-96968,4852
148,-97224,4857
148,-97474,4862
148,-97664,4867
148,-97911,4872
149,-98159,4877
149,-98406,4882
149,-98647,4887
149,-98899,4892
149,-99152,4897
149,-99400,4902
150,-99595,4907
150,-99840,4912
150,-100093,4917
150,-100347,4922
150,-100593,4927
150,-100841,4932
151,-101094,4937
151,-101345,4942
151,-101590,4947
151,-101788,4952
151,-102047,4957
151,-102295,4962
152,-102543,4967
152,-102793,4972
152,-103054,4977
152,-103310,4982
152,-103571,4987
152,-103775,4992
153,-104037,4997
153,-104296,5002
153,-104551,5007
153,-104820,5012
153,-105085,5017
153,-105339,5022
154,-105594,5027
154,-105854,5032
154,-106062,5037
154,-106327,5042
154,-106587,5047
154,-106852,5052
155,-107122,5057
155,-107376,5062
155,-107633,5067
155,-107896,5072
155,-108154,5078
156,-108415,5083
156,-108676,5088
156,-108942,5093
156,-109205,5098
156,-109468,5103
156,-109727,5108
157,-109995,5113
157,-110249,5118
157,-110460,5123
157,-110727,5128
157,-110988,5133
157,-111249,5138
158,-111512,5143
158,-111790,5148
158,-112060,5153
158,-112324,5158
158,-112533,5163
158,-112808,5168
159,-113069,5173
159,-113329,5178
159,-113595,5183
159,-113868,5188
159,-114131,5193
159,-114400,5198
160,-114671,5203
160,-114885,5208
160,-115150,5213
160,-115413,5218
160,-115680,5223
160,-115946,5228
161,-116219,5233
161,-116492,5238
161,-116768,5243
161,-116981,5248
161,-117252,5253
161,-117524,5258
162,-117798,5263
162,-118067,5268
162,-118343,5273
162,-118617,5278
162,-118894,5283
162,-119161,5288
163,-119379,5293
163,-119651,5298
163,-119925,5303
163,-120206,5308
163,-120484,5313
164,-120769,5318
164,-121049,5323
164,-121320,5328
164,-121595,5334
164,-121873,5339
164,-122146,5344
165,-122422,5349
165,-122704,5354
165,-122973,5359
165,-123245,5364
165,-123530,5369
165,-123810,5374
166,-124027,5379
166,-124304,5384
166,-124581,5389
166,-124854,5394
166,-125133,5399
166,-125419,5404
167,-125701,5409
167,-125976,5414
167,-126205,5419
167,-126489,5424
167,-126765,5429
167,-127035,5434
168,-127321,5439
168,-127606,5444
168,-127886,5449
168,-128163,5454
168,-128445,5459
168,-128665,5464
169,-128946,5469
169,-129237,5474
169,-129520,5479
169,-129806,5484
169,-130086,5489
169,-130367,5494
170,-130639,5499
170,-130872,5504
170,-131148,5509
170,-131439,5514
170,-131717,5519
170,-132014,5524
171,-132292,5529
171,-132566,5534
171,-132849,5539
171,-133135,5544
171,-133363,5549
172,-133662,5554
172,-133958,5559
172,-134246,5564
172,-134533,5569
172,-134818,5574
172,-135116,5579
173,-135398,5584
173,-135689,5590
173,-135976,5595
173,-136258,5600
173,-136544,5605
173,-136838,5610
174,-137127,5615
174,-137410,5620
174,-137696,5625
174,-137986,5630
174,-138206,5635
174,-138489,5640
175,-138777,5645
175,-139063,5650
175,-139359,5655
175,-139656,5660
175,-139946,5665
175,-140231,5670
176,-140456,5675
176,-140739,5680
176,-141019,5685
176,-141302,5690
176,-141586,5695
176,-141873,5700
177,-142157,5705
177,-142450,5710
177,-142735,5715
177,-142943,5720
177,-143242,5725
177,-143511,5730
178,-143793,5735
178,-144080,5740
178,-144374,5745
178,-144654,5750
178,-144934,5755
178,-145165,5760
179,-145452,5765
179,-145731,5770
179,-146018,5775
179,-146309,5780
179,-146605,5785
180,-146896,5790
180,-147179,5795
180,-147473,5800
180,-147705,5805
180,-147996,5810
180,-148276,5815
181,-148563,5820
181,-148855,5825
181,-149143,5830
181,-149430,5835
181,-149706,5840
181,-149985,5846
182,-150262,5851
182,-150557,5856
182,-150856,5861
182,-151151,5866
182,-151436,5871
182,-151725,5876
183,-152017,5881
183,-152312,5886
183,-152538,5891
183,-152834,5896
183,-153124,5901
183,-153401,5906
184,-153698,5911
184,-153986,5916
184,-154281,5921
184,-154582,5926
184,-154814,5931
184,-155104,5936
185,-155378,5941
185,-155671,5946
185,-155949,5951
185,-156226,5956
185,-156524,5961
185,-156811,5966
186,-157099,5971
186,-157336,5976
186,-157636,5981
186,-157928,5986
186,-158222,5991
186,-158509,5996
187,-158793,6001
187,-159073,6006
187,-159376,6011
187,-159605,6016
187,-159887,6021
188,-160179,6026
188,-160469,6031
188,-160767,6036
188,-161055,6041
188,-161346,6046
188,-161632,6051
189,-161926,6056
189,-162156,6061
189,-162442,6066
189,-162741,6071
189,-163031,6076
189,-163304,6081
190,-163595,6086
190,-163887,6091
190,-164189,6096
190,-164481,6102
190,-164769,6107
190,-165063,6112
191,-165357,6117
191,-165639,6122
191,-165930,6127
191,-166227,6132
191,-166518,6137
-21,-166798,6142
-21,-166998,6147
-22,-167217,6152
-22,-167389,6157
-22,-167528,6162
-22,-167629,6167
-22,-167707,6172
-22,-167758,6177
-23,-167785,6182
-23,-167794,6187
-23,-167795,6192
-23,-167794,6197
-23,-167793,6202
-23,-167792,6207
-24,-167790,6212
-24,-167785,6217
-24,-167775,6222
-24,-167761,6227
-24,-167749,6232
-24,-167735,6237
-25,-167716,6242
-25,-167696,6247
-25,-167672,6252
-25,-167647,6257
-25,-167620,6262
-26,-167592,6267
-26,-167569,6272
-26,-167538,6277
-26,-167507,6282
-26,-167472,6287
-26,-167437,6292
-27,-167402,6297
-27,-167366,6302
-27,-167328,6307
-27,-167290,6312
-27,-167260,6317
-27,-167221,6322
-28,-167182,6327
-28,-167142,6332
-28,-167103,6337
-28,-167064,6342
-28,-167026,6347
-28,-166987,6352
-29,-166947,6358
-29,-166909,6363
-29,-166870,6368
-29,-166830,6373
-29,-166791,6378
-29,-166753,6383
-30,-166715,6388
-30,-166677,6393
-30,-166638,6398
-30,-166605,6403
-30,-166564,6408
-30,-166521,6413
-31,-166478,6418
-31,-166434,6423
-31,-166390,6428
-31,-166343,6433
-31,-166297,6438
-31,-166260,6443
-32,-166212,6448
-32,-166166,6453
-32,-166118,6458
-32,-166071,6463
-32,-166026,6468
-32,-165985,6473
-33,-165951,6478
-33,-165920,6483
-33,-165895,6488
-33,-165862,6493
-33,-165829,6498
-34,-165794,6503
-34,-165758,6508
-34,-165720,6513
-34,-165683,6518
-34,-165644,6523
-34,-165611,6528
-35,-165572,6533
-35,-165526,6538
-35,-165480,6543
-35,-165430,6548
-35,-165379,6553
-35,-165328,6558
-36,-165277,6563
-36,-165223,6568
-36,-165179,6573
-36,-165124,6578
-36,-165069,6583
-36,-165016,6588
-37,-164962,6593
-37,-164904,6598
-37,-164847,6603
-37,-164792,6608
-37,-164738,6614
-37,-164683,6619
-38,-164626,6624
-38,-164568,6629
-38,-164510,6634
-38,-164452,6639
-38,-164392,6644
-38,-164329,6649
-39,-164268,6654
-39,-164219,6659
-39,-164158,6664
-39,-164096,6669
-39,-164033,6674
-39,-163973,6679
-40,-163916,6684
-40,-163862,6689
-40,-163807,6694
-40,-163765,6699
-40,-163715,6704
-40,-163663,6709
-41,-163610,6714
-41,-163554,6719
-41,-163496,6724
-41,-163437,6729
-41,-163376,6734
-42,-163314,6739
-42,-163262,6744
-42,-163198,6749
-42,-163133,6754
-42,-163066,6759
-42,-162999,6764
-43,-162933,6769
-43,-162866,6774
-43,-162801,6779
-43,-162747,6784
-43,-162681,6789
-43,-162615,6794
-44,-162549,6799
-44,-162481,6804
-44,-162410,6809
-44,-162340,6814
-44,-162272,6819
-44,-162201,6824
-45,-162143,6829
-45,-162070,6834
-45,-161998,6839
-45,-161927,6844
-45,-161860,6849
-45,-161800,6854
-46,-161739,6859
-46,-161677,6864
-46,-161613,6870
-46,-161549,6875
-46,-161485,6880
-46,-161419,6885
-47,-161347,6890
-47,-161276,6895
-47,-161203,6900
-47,-161130,6905
-47,-161051,6910
-47,-160990,6915
-48,-160916,6920
-48,-160840,6925
-48,-160762,6930
-48,-160687,6935
-48,-160614,6940
-48,-160536,6945
-49,-160459,6950
-49,-160398,6955
-49,-160318,6960
-49,-160237,6965
-49,-160155,6970
-49,-160076,6975
-50,-159993,6980
-50,-159912,6985
-50,-159834,6990
-50,-159760,6995
-50,-159705,7000
-51,-159635,7005
-51,-159568,7010
-51,-159494,7015
-51,-159420,7020
-51,-159343,7025
-51,-159265,7030
-52,-159182,7035
-52,-159116,7040
-52,-159034,7045
-52,-158950,7050
-52,-158865,7055
-52,-158781,7060
-53,-158698,7065
-53,-158613,7070
-53,-158529,7075
-53,-158443,7080
-53,-158375,7085
-53,-158287,7090
-54,-158200,7095
-54,-158112,7100
-54,-158021,7105
-54,-157932,7110
-54,-157843,7115
-54,-157758,7120
-55,-157677,7126
-55,-157599,7131
-55,-157519,7136
-55,-157435,7141
-55,-157355,7146
-55,-157268,7151
-56,-157177,7156
-56,-157092,7161
-56,-157001,7166
-56,-156926,7171
-56,-156836,7176
-56,-156746,7181
-57,-156653,7186
-57,-156564,7191
-57,-156472,7196
-57,-156376,7201
-57,-156285,7206
-57,-156208,7211
-58,-156111,7216
-58,-156016,7221
-58,-155919,7226
-58,-155820,7231
-58,-155728,7236
-59,-155637,7241
-59,-155548,7246
-59,-155460,7251
-59,-155386,7256
-59,-155294,7261
-59,-155201,7266
-60,-155104,7271
-60,-155006,7276
-60,-154909,7281
-60,-154809,7286
-60,-154711,7291
-60,-154632,7296
-61,-154534,7301
-61,-154434,7306
-61,-154335,7311
-61,-154233,7316
-61,-154131,7321
-61,-154027,7326
-62,-153923,7331
-62,-153821,7336
-62,-153738,7341
-62,-153639,7346
-62,-153543,7351
-62,-153447,7356
-63,-153349,7361
-63,-153253,7366
-63,-153152,7371
-63,-153047,7376
-63,-152946,7382
-63,-152840,7387
-64,-152736,7392
-64,-152629,7397
-64,-152522,7402
-64,-152420,7407
-64,-152314,7412
-64,-152208,7417
-65,-152098,7422
-65,-152008,7427
-65,-151897,7432
-65,-151784,7437
-65,-151677,7442
-65,-151574,7447
-66,-151472,7452
-66,-151372,7457
-66,-151265,7462
-66,-151182,7467
-66,-151077,7472
-67,-150969,7477
-67,-150857,7482
-67,-150744,7487
-67,-150629,7492
-67,-150514,7497
-67,-150397,7502
-68,-150280,7507
-68,-150183,7512
-68,-150063,7517
-68,-149944,7522
-68,-149827,7527
-68,-149713,7532
-69,-149602,7537
-69,-149498,7542
-69,-149395,7547
-69,-149309,7552
-69,-149199,7557
-69,-149089,7562
-70,-148971,7567
-70,-148855,7572
-70,-148730,7577
-70,-148610,7582
-70,-148487,7587
-70,-148369,7592
-71,-148277,7597
-71,-148159,7602
-71,-148042,7607
-71,-147924,7612
-71,-147809,7617
-71,-147686,7622
-72,-147566,7627
-72,-147448,7632
-72,-147331,7638
-72,-147219,7643
-72,-147105,7648
-72,-146990,7653
-73,-146872,7658
-73,-146759,7663
-73,-146642,7668
-73,-146530,7673
-73,-146418,7678
-73,-146329,7683
-74,-146217,7688
-74,-146102,7693
-74,-145989,7698
-74,-145873,7703
-74,-145756,7708
-75,-145640,7713
-75,-145525,7718
-75,-145436,7723
-75,-145331,7728
-75,-145224,7733
-75,-145115,7738
