accel_x,accel_y,accel_z,range_sensor,t
-0.039551,0.096924,-0.929199,112.0,12.698848
-0.030518,0.053711,-0.936523,114.0,12.730818
-0.043213,0.077148,-0.914063,116.0,12.762827
-0.036377,0.068604,-0.929199,115.0,12.794
-0.028564,0.067383,-0.933105,116.0,12.826108
-0.03125,0.049805,-0.941895,115.0,12.857392
-0.027832,0.094727,-0.920898,117.0,12.889105
-0.026123,0.069336,-0.920654,119.0,12.921128
-0.020752,0.096436,-0.926514,114.0,12.952099
-0.032715,0.073242,-0.921875,114.0,12.984107
-0.017822,0.061279,-0.904785,115.0,13.015185
-0.039307,0.070068,-0.936279,117.0,13.047446
-0.030762,0.05957,-0.935547,116.0,13.079104
-0.03125,0.069336,-0.930664,114.0,13.110126
-0.024902,0.087646,-0.912109,116.0,13.142387
-0.045898,0.064941,-0.919922,114.0,13.173387
-0.023926,0.071533,-0.925781,113.0,13.205447
-0.02832,0.075684,-0.92334,116.0,13.237105
-0.031982,0.076416,-0.92627,114.0,13.269108
-0.026611,0.088867,-0.94458,115.0,13.300349
-0.026123,0.05835,-0.923584,113.0,13.332119
-0.039551,0.080078,-0.928711,114.0,13.363387
-0.0271,0.057861,-0.932861,116.0,13.39523
-0.043457,0.066406,-0.949219,116.0,13.427128
-0.022949,0.0896,-0.927002,111.0,13.458309
-0.026123,0.092773,-0.946045,118.0,13.490325
-0.01709,0.068848,-0.933594,114.0,13.522329
-0.030029,0.068848,-0.925049,115.0,13.553128
-0.022949,0.078369,-0.916016,112.0,13.585107
-0.033203,0.079346,-0.919434,115.0,13.616318
-0.037842,0.092773,-0.941162,117.0,13.648679
-0.050293,0.063477,-0.916992,117.0,13.679888
-0.042236,0.062744,-0.925049,114.0,13.711687
-0.033447,0.060547,-0.917236,113.0,13.743703
-0.033447,0.061035,-0.942383,114.0,13.774861
-0.032959,0.08667,-0.940918,114.0,13.806699
-0.018066,0.057617,-0.94043,116.0,13.837671
-0.028809,0.081299,-0.993652,115.0,13.869673
-0.024414,0.063721,-0.930176,116.0,13.900682
-0.038086,0.071777,-0.940674,114.0,13.932674
-0.043213,0.055176,-0.918213,116.0,13.964649
-0.029053,0.078125,-0.906738,115.0,13.995654
-0.02832,0.081543,-0.931396,116.0,14.027648
-0.022705,0.081787,-0.928223,118.0,14.059678
-0.032227,0.093262,-0.939453,115.0,14.09085
-0.042725,0.113281,-0.930176,117.0,14.122657
-0.039063,0.046387,-0.908691,116.0,14.154637
-0.04126,0.078857,-0.929932,115.0,14.18585
-0.041504,0.090088,-0.921631,117.0,14.217614
-0.029785,0.08252,-0.945068,115.0,14.249607
-0.022949,0.073975,-0.923828,118.0,14.280605
-0.016846,0.060791,-0.918701,114.0,14.311855
-0.036865,0.084717,-0.927734,113.0,14.343613
-0.015381,0.051758,-0.931641,112.0,14.375716
-0.015381,0.041016,-0.91748,114.0,14.406613
-0.02124,0.080566,-0.93042,115.0,14.438907
-0.030273,0.064941,-0.927979,116.0,14.470596
-0.030518,0.066406,-0.945068,115.0,14.502595
-0.037354,0.077393,-0.933594,118.0,14.533793
-0.040039,0.085938,-0.931396,116.0,14.564593
-0.023682,0.057861,-0.930908,115.0,14.596792
-0.02832,0.06665,-0.924316,115.0,14.62874
-0.041748,0.068115,-0.932861,115.0,14.660598
-0.035889,0.086914,-0.919434,114.0,14.691808
-0.017578,0.056641,-0.903809,115.0,14.723597
-0.031738,0.080566,-0.92749,114.0,14.755687
-0.033447,0.052979,-0.916992,115.0,14.78687
-0.032227,0.058594,-0.98999,114.0,14.818595
-0.030762,0.053955,-0.932861,116.0,14.850611
-0.019531,0.066162,-0.941162,115.0,14.88159
-0.034912,0.064453,-0.93335,117.0,14.913588
-0.041748,0.081055,-0.923584,112.0,14.945324
-0.035156,0.062012,-0.931641,113.0,14.976323
-0.039307,0.060303,-0.935059,116.0,15.008325
-0.03125,0.067139,-0.935791,117.0,15.039323
-0.008057,0.072021,-0.934814,116.0,15.071532
-0.033203,0.05127,-0.921143,117.0,15.103524
-0.040039,0.053711,-0.931641,111.0,15.13484
-0.031738,0.055664,-0.933105,115.0,15.16651
-0.038818,0.073242,-0.929443,111.0,15.198529
-0.034424,0.05542,-0.917969,114.0,15.229711
-0.024902,0.064453,-0.928711,116.0,15.261717
-0.023438,0.07251,-0.934814,114.0,15.292528
-0.041748,0.055664,-0.933105,115.0,15.324677
-0.030762,0.052246,-0.932129,118.0,15.356237
-0.026367,0.078857,-0.948975,116.0,15.388096
-0.043457,0.050537,-0.937256,116.0,15.419332
-0.01001,0.061279,-0.932861,115.0,15.451213
-0.033936,0.082275,-0.927979,117.0,15.483145
-0.015137,0.075684,-0.925049,114.0,15.515076
-0.032227,0.058594,-0.939209,117.0,15.546267
-0.022705,0.085693,-0.953369,114.0,15.577547
-0.026367,0.072266,-0.916016,113.0,15.609428
-0.027832,0.073242,-0.916016,114.0,15.64137
-0.033691,0.123291,-0.929199,117.0,15.672526
-0.045654,0.05835,-0.936035,114.0,15.704556
-0.019287,0.087646,-0.942383,118.0,15.736425
